"","genes","p.value","p.value.adj","seedPct","queryPct","logFC","seedTerritory","queryTerritory"
"7","Clu",1.54713246972817e-199,3.7131179273476e-198,0.681739130434783,0.431337503723563,0.407921684738893,"4","6"
"11","Fgl1",1.25411439809363e-198,2.88446311561536e-197,0.502608695652174,0.248882931188561,0.275067871358777,"4","6"
"22","Ttr",4.92148814851929e-185,1.08272739267424e-183,0.727391304347826,0.537682454572535,0.330437517943996,"4","6"
"10","Fgg",3.37935637828292e-175,7.09664839439413e-174,0.770434782608696,0.538278224605302,0.396598961818709,"4","6"
"8","Cp",1.24737477872295e-166,2.49474955744589e-165,0.550869565217391,0.348376526660709,0.289476514103499,"4","6"
"24","mt-Rnr2",4.40597253261938e-166,8.37134781197683e-165,0.975217391304348,0.949955317247542,0.253748920364177,"4","6"
"23","mt-Nd1",1.41487299510972e-163,2.5467713911975e-162,0.964782608695652,0.911974977658624,0.283351839096671,"4","6"
"21","Trf",1.16975688210481e-162,1.98858669957819e-161,0.804782608695652,0.537384569556151,0.579208659860896,"4","6"
"17","Malat1",3.03412648413515e-157,4.85460237461625e-156,0.96695652173913,0.979296991361335,-0.444092243080651,"4","6"
"20","S100a4",2.70618588407545e-155,4.05927882611318e-154,0.504782608695652,0.686029192731606,-0.320862705929082,"4","6"
"9","Fgb",1.339355324369e-154,1.8750974541166e-153,0.81304347826087,0.579237414358058,0.476749655185262,"4","6"
"13","Hp",3.12628704163238e-149,4.0641731541221e-148,0.845652173913043,0.582365207030086,0.644016973632942,"4","6"
"2","Alb",1.5125048439816e-146,1.81500581277792e-145,0.880869565217391,0.675305332141793,0.613304583106153,"4","6"
"16","Lgals1",1.63355343236048e-146,1.81500581277792e-145,0.743913043478261,0.858504617217754,-0.307789862991441,"4","6"
"3","Ambp",7.23382794288886e-144,7.23382794288886e-143,0.502608695652174,0.2609472743521,0.268529771343228,"4","6"
"5","Apoe",1.0465894065515e-143,9.41930465896347e-143,0.868260869565217,0.739946380697051,0.362486507936706,"4","6"
"6","C3",2.42178142751547e-141,1.93742514201238e-140,0.570869565217391,0.296842418826333,0.352116339399371,"4","6"
"18","Rps24",8.00926537431876e-141,5.60648576202313e-140,0.507391304347826,0.659815311289842,-0.264537709835591,"4","6"
"14","Hpx",1.54140135119195e-138,9.24840810715173e-138,0.68,0.409294012511171,0.411961906345474,"4","6"
"19","Rps5",1.98963759640166e-132,9.94818798200831e-132,0.765217391304348,0.859249329758713,-0.304684684773127,"4","6"
"1","Ahsg",9.03339760431958e-128,3.61335904172783e-127,0.818695652173913,0.602472445635984,0.504409767976219,"4","6"
"4","Apoa1",9.65326930337789e-126,2.89598079101337e-125,0.711739130434783,0.471254095918975,0.389320885964672,"4","6"
"12","Gc",1.40365176161882e-97,2.48592012997521e-97,0.695217391304348,0.402293714626154,0.433250947609335,"4","6"
"15","Lcn2",1.24296006498761e-97,2.48592012997521e-97,0.36695652173913,0.0969615728328865,0.285928094748602,"4","6"
